coordonnees;date
0.09025161003104247;2014-05-13
0.10738134666416482;2014-05-14
0.12447926388679133;2014-05-15
0.14154029521704564;2014-05-16
0.15855938510313736;2014-05-17
0.17553149042143126;2014-05-18
0.19245158197083342;2014-05-19
0.20931464596305235;2014-05-20
0.22611568550829236;2014-05-21
0.2428497220959401;2014-05-22
0.25951179706980454;2014-05-23
0.27609697309747394;2014-05-24
0.29260033563335386;2014-05-25
0.30901699437495317;2014-05-26
0.3253420847119862;2014-05-27
0.34157076916786183;2014-05-28
0.35769823883313207;2014-05-29
0.37371971479047583;2014-05-30
0.3896304495307951;2014-05-31
0.4054257283600046;2014-06-01
0.4211008707960972;2014-06-02
0.4366512319560718;2014-06-03
0.4520722039323124;2014-06-04
0.46735921715801065;2014-06-05
0.48250774176122696;2014-06-06
0.4975132889071895;2014-06-07
0.5123714121284326;2014-06-08
0.5270777086423815;2014-06-09
0.5416278206559909;2014-06-10
0.5560174366570542;2014-06-11
0.5702422926917969;2014-06-12
0.5842981736283784;2014-06-13
0.5981809144059266;2014-06-14
0.6118864012687347;2014-06-15
0.6254105729852568;2014-06-16
0.6387494220515377;2014-06-17
0.6518989958787232;2014-06-18
0.6648553979642973;2014-06-19
0.6776147890466998;2014-06-20
0.6901733882429829;2014-06-21
0.7025274741691679;2014-06-22
0.714673386042972;2014-06-23
0.7266075247685767;2014-06-24
0.7383263540031176;2014-06-25
0.7498264012045798;2014-06-26
0.7611042586607858;2014-06-27
0.7721565844991755;2014-06-28
0.782980103677074;2014-06-29
0.7935716089521585;2014-06-30
0.8039279618328324;2014-07-01
0.8140460935082289;2014-07-02
0.8239230057575653;2014-07-03
0.8335557718385808;2014-07-04
0.8429415373547937;2014-07-05
0.85207752110132;2014-07-06
0.8609610158890049;2014-07-07
0.8695893893466214;2014-07-08
0.8779600847008985;2014-07-09
0.8860706215341481;2014-07-10
0.893918596519267;2014-07-11
0.9015016841318938;2014-07-12
0.9088176373395125;2014-07-13
0.9158642882672965;2014-07-14
0.9226395488404967;2014-07-15
0.9291414114031832;2014-07-16
0.9353679493131568;2014-07-17
0.9413173175128554;2014-07-18
0.9469877530760833;2014-07-19
0.9523775757304052;2014-07-20
0.9574851883550467;2014-07-21
0.9623090774541557;2014-07-22
0.9668478136052843;2014-07-23
0.9711000518829568;2014-07-24
0.9750645322572008;2014-07-25
0.9787400799669208;2014-07-26
0.9821256058680058;2014-07-27
0.9852201067560655;2014-07-28
0.988022665663702;2014-07-29
0.9905324521322268;2014-07-30
0.9927487224577437;2014-07-31
0.9946708199115242;2014-08-01
0.9962981749346104;2014-08-02
0.9976303053065878;2014-08-03
0.9986668162884775;2014-08-04
0.9994074007397058;2014-08-05
0.9998518392091168;2014-08-06
1.0;2014-08-07
0.9998518392091162;2014-08-08
0.9994074007397048;2014-08-09
0.998666816288476;2014-08-10
0.9976303053065857;2014-08-11
0.9962981749346078;2014-08-12
0.9946708199115211;2014-08-13
0.9927487224577402;2014-08-14
0.9905324521322229;2014-08-15
0.9880226656636976;2014-08-16
0.9852201067560606;2014-08-17
0.9821256058680006;2014-08-18
0.9787400799669153;2014-08-19
0.9750645322571948;2014-08-20
0.9711000518829505;2014-08-21
0.9668478136052776;2014-08-22
0.9623090774541486;2014-08-23
0.9574851883550393;2014-08-24
0.9523775757303975;2014-08-25
0.9469877530760753;2014-08-26
0.9413173175128471;2014-08-27
0.9353679493131483;2014-08-28
0.9291414114031743;2014-08-29
0.9226395488404876;2014-08-30
0.9158642882672872;2014-08-31
0.9088176373395029;2014-09-01
0.9015016841318839;2014-09-02
0.893918596519257;2014-09-03
0.8860706215341378;2014-09-04
0.877960084700888;2014-09-05
0.8695893893466109;2014-09-06
0.8609610158889942;2014-09-07
0.8520775211013092;2014-09-08
0.8429415373547827;2014-09-09
0.8335557718385698;2014-09-10
0.8239230057575541;2014-09-11
0.8140460935082177;2014-09-12
0.8039279618328212;2014-09-13
0.7935716089521472;2014-09-14
0.7829801036770626;2014-09-15
0.772156584499164;2014-09-16
0.7611042586607744;2014-09-17
0.7498264012045683;2014-09-18
0.7383263540031062;2014-09-19
0.7266075247685653;2014-09-20
0.7146733860429607;2014-09-21
0.7025274741691566;2014-09-22
0.6901733882429716;2014-09-23
0.6776147890466886;2014-09-24
0.664855397964286;2014-09-25
0.6518989958787121;2014-09-26
0.6387494220515267;2014-09-27
0.6254105729852459;2014-09-28
0.611886401268724;2014-09-29
0.5981809144059159;2014-09-30
0.5842981736283679;2014-10-01
0.5702422926917865;2014-10-02
0.556017436657044;2014-10-03
0.5416278206559808;2014-10-04
0.5270777086423717;2014-10-05
0.5123714121284232;2014-10-06
0.4975132889071803;2014-10-07
0.4825077417612181;2014-10-08
0.46735921715800205;2014-10-09
0.45207220393230413;2014-10-10
0.43665123195606387;2014-10-11
0.4211008707960896;2014-10-12
0.40542572835999735;2014-10-13
0.3896304495307882;2014-10-14
0.3737197147904692;2014-10-15
0.3576982388331259;2014-10-16
0.341570769167856;2014-10-17
0.3253420847119808;2014-10-18
0.3090169943749481;2014-10-19
0.2926003356333492;2014-10-20
0.2760969730974697;2014-10-21
0.2595117970698007;2014-10-22
0.2428497220959367;2014-10-23
0.22611568550828937;2014-10-24
0.20931464596304977;2014-10-25
0.1924515819708313;2014-10-26
0.17553149042142951;2014-10-27
0.15855938510313608;2014-10-28
0.14154029521704478;2014-10-29
0.12447926388679091;2014-10-30
0.10738134666416485;2014-10-31
0.09025161003104293;2014-11-01
0.07309512989807955;2014-11-02
0.05591699010060526;2014-11-03
0.03872228089217668;2014-11-04
0.021516097436224475;2014-11-05
0.004303538296246509;2014-11-06
-0.0129102960750066;2014-11-07
-0.030120304846905675;2014-11-08
-0.04732138832242919;2014-11-09
-0.06450844944931357;2014-11-10
-0.08167639533041976;2014-11-11
-0.09882013873286856;2014-11-12
-0.11593459959549755;2014-11-13
-0.1330147065341928;2014-11-14
-0.1500553983446495;2014-11-15
-0.16705162550211597;2014-11-16
-0.18399835165767678;2014-11-17
-0.20089055513063178;2014-11-18
-0.2177232303965283;2014-11-19
-0.2344913895704062;2014-11-20
-0.2511900638848157;2014-11-21
-0.26781430516217053;2014-11-22
-0.2843591872809998;2014-11-23
-0.30081980763566374;2014-11-24
-0.3171912885891021;2014-11-25
-0.3334687789181829;2014-11-26
-0.3496474552512245;2014-11-27
-0.36572252349726503;2014-11-28
-0.38168922026665486;2014-11-29
-0.39754281428255167;2014-11-30
-0.41327860778289993;2014-12-01
-0.4288919379124795;2014-12-02
-0.4443781781046092;2014-12-03
-0.4597327394521;2014-12-04
-0.474951072067046;2014-12-05
-0.49002866642905496;2014-12-06
-0.5049610547215162;2014-12-07
-0.5197438121555112;2014-12-08
-0.5343725582809745;2014-12-09
-0.5488429582847149;2014-12-10
-0.5631507242749142;2014-12-11
-0.5772916165517229;2014-12-12
-0.5912614448635738;2014-12-13
-0.6050560696488445;2014-12-14
-0.6186714032624989;2014-12-15
-0.6321034111873441;2014-12-16
-0.6453481132295458;2014-12-17
-0.6584015846980443;2014-12-18
-0.671259957567527;2014-12-19
-0.6839194216246061;2014-12-20
-0.6963762255968677;2014-12-21
-0.7086266782644551;2014-12-22
-0.7206671495538566;2014-12-23
-0.7324940716135744;2014-12-24
-0.7441039398713561;2014-12-25
-0.7554933140726758;2014-12-26
-0.7666588193001548;2014-12-27
-0.7775971469736225;2014-12-28
-0.7883050558305211;2014-12-29
-0.7987793728863607;2014-12-30
-0.8090169943749432;2014-12-31
-0.8190148866680758;2015-01-01
-0.8287700871744995;2015-01-02
-0.8382797052177702;2015-01-03
-0.8475409228928271;2015-01-04
-0.8565509959009997;2015-01-05
-0.8653072543632022;2015-01-06
-0.8738071036110769;2015-01-07
-0.8820480249558499;2015-01-08
-0.890027576434673;2015-01-09
-0.8977433935342303;2015-01-10
-0.905193189891394;2015-01-11
-0.9123747579707239;2015-01-12
-0.9192859697186071;2015-01-13
-0.9259247771938467;2015-01-14
-0.9322892131745103;2015-01-15
-0.9383773917408612;2015-01-16
-0.9441875088341966;2015-01-17
-0.949717842791429;2015-01-18
-0.9549667548552525;2015-01-19
-0.959932689659742;2015-01-20
-0.9646141756912411;2015-01-21
-0.969009825724404;2015-01-22
-0.9731183372332598;2015-01-23
-0.9769384927771797;2015-01-24
-0.9804691603616302;2015-01-25
-0.983709293773608;2015-01-26
-0.9866579328916555;2015-01-27
-0.989314203970365;2015-01-28
-0.9916773198992888;2015-01-29
-0.993746580436177;2015-01-30
-0.9955213724144742;2015-01-31
-0.9970011699250143;2015-02-01
-0.998185534471858;2015-02-02
-0.9990741151022295;2015-02-03
-0.9996666485105109;2015-02-04
-0.9999629591162654;2015-02-05
-0.9999629591162656;2015-02-06
-0.9996666485105115;2015-02-07
-0.9990741151022304;2015-02-08
-0.9981855344718593;2015-02-09
-0.997001169925016;2015-02-10
-0.9955213724144762;2015-02-11
-0.9937465804361794;2015-02-12
-0.9916773198992914;2015-02-13
-0.989314203970368;2015-02-14
-0.9866579328916589;2015-02-15
-0.9837092937736118;2015-02-16
-0.9804691603616343;2015-02-17
-0.9769384927771841;2015-02-18
-0.9731183372332647;2015-02-19
-0.9690098257244091;2015-02-20
-0.9646141756912466;2015-02-21
-0.9599326896597479;2015-02-22
-0.9549667548552588;2015-02-23
-0.9497178427914356;2015-02-24
-0.9441875088342035;2015-02-25
-0.9383773917408685;2015-02-26
-0.932289213174518;2015-02-27
-0.9259247771938546;2015-02-28
-0.9192859697186154;2015-03-01
-0.9123747579707325;2015-03-02
-0.905193189891403;2015-03-03
-0.8977433935342395;2015-03-04
-0.8900275764346827;2015-03-05
-0.8820480249558599;2015-03-06
-0.8738071036110873;2015-03-07
