"CM1" "CM2" "CM3" "CM4" "CM5" "CM6" "CM7" "CM8" "CM9" "CM10" "CM11" "CM12" "CM13" "CM14" "CM15" "CM16" "CM17" "CM18" "CM19" "CM20" "CM21" "CM22" "CM23" "CM24" "CM25" "CM26" "CM27" "CM28" "CM29" "CM30" "CM31" "CM32" "CM33" "CM34" "CM35" "CM36" "CM37" "CM38" "CM39" "CM40" "CM41" "CM42" "CM43" "CM44" "CM45" "CM46" "CM47" "CM48" "CM49" "CM50" "CM51" "CM52" "CM53" "CM54" "CM55" "CM56" "CM57" "CM58" "CM59" "CM60" "CM61" "CM62" "CM63" "CM64" "CM65" "CM66" "CM67" "CM68" "CM69" "CM70" "CM71" "CM72"
"Carrere-G" 82.454761905 75.073809524 76.904347826 68.647222222 71.052272727 74.933333333 76.6625 79.815217391 82.826190476 80.079545455 72.093181818 65.044736842 63.384090909 65.9025 60.65 62.721052632 65.55 62.01 62.597727273 62.086956522 51.4175 54.839130435 57.522727273 57.544444444 57.013636364 53.655 52.49 51.471428571 49.975454545 53.64 47.25 42.905454545 44.356190476 43.164782609 45.484761905 41.8325 38.450454545 35.9305 34.634285714 37.7775 38.523809524 40.83047619 42.010434783 41.901428571 44.908181818 44.667826087 45.287 43.166190476 42.025714286 41.62 41.73173913 39.629 38.459047619 39.969545455 39.061818182 38.409545455 40.714545455 35.568571429 35.455454545 35.750869565 37.346666667 40.0055 40.146190476 40.247619048 39.369090909 40.133636364 39.397142857 38.699565217 37.855909091 37.925714286 37.324090909 38.755714286
"C-Guichard" 72.252380952 65.521428571 63.269565217 64.975 63.914285714 64.566666667 71.0825 70.089130435 69.5 66.270454545 69.336363636 68.926315789 69.256818182 69.085 66.993181818 64.076315789 69.218181818 69.8175 65.45 63.052173913 58.87 60.245652174 59.247727273 61.944444444 60.745454545 57.8175 60.2875 64.330952381 65.122727273 64.0975 57.608695652 52.679545455 49.21952381 45.969130435 48.767142857 50.254 48.646363636 44.93 43.884285714 48.5695 49.113809524 53.59047619 54.77173913 55.297619048 62.002272727 63.917391304 64.5925 62.385714286 64.269047619 65.4175 67.665217391 66.9375 64.595238095 64.152272727 63.436363636 58.95 57.945454545 52.262380952 50.807272727 52.260869565 56.171428571 58.335 57.89047619 56.233333333 53.281818182 52.706818182 49.461428571 50.605217391 51.677272727 51.776190476 50.240909091 49.411428571
"Cast" 107.63333333 97.302380952 94.502173913 96.563888889 93.75 96.814285714 107.715 108.53478261 107.72857143 101.71363636 107.11363636 106.3 106.59545455 108.29 103.97727273 98.207894737 101.52272727 101.4625 94.686363636 90.739130435 85.4875 85.419565217 83.913636364 86.280555556 82.222727273 77.4425 81.66 86.285714286 87.602272727 86.625 79.352173913 73.563636364 68.807142857 63.85 67.30952381 68.7325 64.836363636 56.4625 55.505714286 61.6975 62.278571429 68.157142857 67.047826087 67.29047619 75.143181818 78.676086957 77.7625 75.828571429 76.530952381 77.585 78.963043478 76.5375 71.29047619 72.009090909 70.834090909 65.243181818 65.354545455 58.09047619 58.093181818 57.652173913 60.880952381 63.6 63.642857143 62.388095238 58.118181818 58.306818182 57.461904762 57.202173913 58.156818182 58.507142857 56.490909091 56.823809524
"Catering-I" 23.361904762 36.8895 56.603478261 44.650555556 42.550909091 40.073809524 38.6665 43.834782609 44.071428571 37.572727273 34.262272727 26.665789474 25.134545455 18.6575 13.19 10.962631579 14.030909091 12.2995 9.9836363636 7.3395652174 3.7495 2.1681818182 3.2809090909 3.1161111111 2.9586363636 2.3025 3.068 2.850952381 2.7340909091 1.724 1.5895652174 1.7233333333 1.2947619048 1.1156521739 1.4919047619 1.7135 1.5759090909 1.459 1.2628571429 1.4095 1.6538095238 1.6138095238 1.5895454545 1.730952381 1.9268181818 2.062173913 2.124 2.44 2.7552380952 2.8125 2.5286956522 2.153 1.8776190476 1.8018181818 1.5995454545 1.2340909091 1.1286363636 1.0242857143 1.2031818182 1.8582608696 1.9171428571 2.124 2.9476190476 2.78 3.0990909091 3.83 3.939047619 4.4556521739 4.4881818182 4.699047619 4.1881818182 4.0276190476
"Cegedim" 17.275238095 16.03047619 17.896818182 16.907058824 17.112727273 17.035714286 17.1545 17.909130435 18.94047619 19.278947368 21.003181818 22.688421053 22.497619048 27.225 27.876818182 28.359473684 30.335 33.7015 30.102727273 30.306521739 29.0125 27.135652174 31.080454545 30.424444444 30.537272727 29.6635 30.144 34.204761905 34.482727273 32.865 28.943913043 29.662727273 29.88 27.4 28.079047619 25.81 24.567272727 23.8265 23.193333333 23.467 23.903809524 24.6945 25.126086957 22.637142857 22.468181818 22.136521739 20.875 22.7375 22.543333333 21.887 20.085652174 20.0515 21.39952381 21.706818182 23.273636364 24.30047619 23.514545455 22.804285714 20.039090909 19.769565217 19.9385 21.093333333 20.749333333 20.208947368 19.1 18.853636364 18.796190476 21.486086957 23.523636364 23.774761905 22.674545455 22.684285714
"Cegid" 90.419047619 106.50714286 118.10909091 99.247058824 104.52272727 84.055 79.1475 65.210869565 72.702380952 74.884090909 59.875 46.295263158 53.565909091 62.61 49.931818182 45.313684211 53.813636364 51.6375 48.565909091 50.965652174 44.975 48.774782609 49.900454545 50.416666667 50.795454545 57.5275 60.475 59.435714286 57.027272727 56.3925 56.223913043 47.632272727 38.142857143 29.317391304 32.13 38.4815 37.751818182 35.904 34.861428571 29.193 32.626190476 40.908095238 39.850869565 39.732857143 39.68 45.720869565 45.343 45.03952381 45.373809524 48.944 53.691304348 53.0625 58.723809524 61.581818182 62.536363636 57.829545455 61.465909091 60.342857143 59.877272727 58.308695652 59.761904762 64.785 66.992857143 65.154761905 64.588636364 65.268181818 66.228571429 66.215217391 73.915909091 76.257142857 71.261363636 69.15952381
"Cerep" 47.122380952 55.177619048 62.906956522 53.740555556 47.137272727 38.865238095 34.6585 31.796956522 31.877619048 24.699090909 22.095 18.937894737 19.131363636 24.2645 19.945909091 22.102105263 27.216363636 26.461 24.383181818 26.101304348 21.7145 21.585217391 21.889090909 20.747222222 20.899545455 19.4655 20.046 19.941904762 17.124090909 15.867 14.396956522 11.986363636 11.019047619 9.4526086957 9.9319047619 10.385 10.109090909 7.552 7.6033333333 9.913 10.717619048 11.23952381 11.116521739 11.31952381 11.640909091 13.370434783 16.698 16.898095238 18.504761905 23.093 22.223043478 23.2365 21.998095238 23.264761905 26.489545455 24.257727273 23.095 22.002380952 23.702272727 24.287391304 28.005238095 31.403 32.052380952 33.216190476 29.811363636 29.131818182 29.405714286 29.15 30.655 32.223333333 30.882272727 33.654285714
"Cesar" 4.679047619 12.587894737 18.191304348 13.698888889 15.06 15.014285714 14.3365 14.864782609 17.844761905 17.728636364 18.113636364 16.783684211 17.62 20.66 19.285909091 17.951052632 19.814545455 19.1375 17.944545455 18.19826087 12.79 14.540434783 18.122727273 16.776666667 17.563181818 18.731 19.0235 19.334761905 18.411818182 14.7655 13.26826087 12.828181818 11.645238095 8.502173913 8.76 9.4305 9.6418181818 8.8565 7.3295238095 8.2105 8.78 8.5333333333 7.7708695652 7.8533333333 8.3013636364 8.1104347826 8.1215 8.6 8.5895238095 9.3355 9.4969565217 9.7715 9.3528571429 9.7004545455 9.7113636364 9.3590909091 9.3845454545 9.4433333333 10.073181818 10.653913043 11.761428571 13.2905 13.055238095 12.198095238 9.7809090909 9.4440909091 10.402857143 9.6126086957 9.2927272727 9.3976190476 8.865 10.140952381
"Cgbi" 4.7319047619 5.1280952381 5.5691304348 5.8772222222 6.4372727273 6.4219047619 6.2295 5.6056521739 5.57 5.13 5.1054545455 5.0494736842 5.3027272727 5.6595 5.4518181818 5.3263157895 5.7595454545 5.8735 6.0813636364 5.8056521739 5.0155 4.9926086957 5.1554545455 5.1355555556 5.2304545455 5.3925 5.8165 5.82 5.8745454545 5.6535 5.55 5.2571428571 5.090952381 4.7786363636 5.2061904762 5.8005 5.8386363636 5.787 5.5771428571 5.638 6.1395238095 6.3766666667 6.5404347826 7.3376190476 7.2936363636 7.5282608696 8.1385 8.9576190476 9.2376190476 10.2415 11.230434783 12.0175 11.858095238 12.96 12.805 12.763636364 13.682727273 15.215238095 17.491363636 21.803888889 19.4565 24.426 27.540952381 24.961428571 23.469090909 18.296818182 19.401428571 21.075217391 22.239545455 22.823809524 21.795909091 23.668571429
"Chausseria" 19.180952381 18.563333333 18.414782609 19.757777778 20.834090909 20.823809524 20.56 20.653478261 21.941428571 21.958636364 22.862272727 22.212631579 23.791363636 24.3585 26.063809524 27.788421053 27.57 27.266666667 25.617647059 24.887391304 22.0905 22.145217391 21.4545 21.726111111 23.395 24.28 25.8325 27.646190476 29.659090909 27.752 26.284782609 24.521428571 23.516666667 22.84173913 24.134285714 24.619 24.176363636 22.854736842 22.995714286 22.907894737 22.969047619 22.972380952 23.022608696 24.3985 24.947727273 26.23826087 25.467 24.73952381 26.051428571 26.926 26.781363636 27.295 27.06952381 27.191818182 27.357727273 26.035 26.379545455 26.802380952 26.540454545 29.062173913 32.553809524 33.3125 33.983809524 32.312857143 30.427619048 29.014090909 27.262857143 24.012173913 23.232272727 20.561428571 18.728636364 18.348571429
"Cibox-I" 59.407619048 56.951904762 56.915217391 60.670555556 64.225 62.714285714 62.83 67.030434783 62.911904762 59.827272727 57.356818182 51.408421053 49.020909091 48.2915 42.075454545 42.037894737 48.011818182 45.4535 40.851818182 40.380869565 29.659 29.049130435 32.684090909 34.756111111 35.092272727 36.396 43.2875 42.89952381 45.315454545 39.689 34.950434783 33.710909091 31.527619048 30.266956522 34.857619048 33.266 30.543181818 31.318 32.074285714 31.276 32.98952381 35.727142857 36.915217391 39.93047619 43.771363636 45.841304348 47.5945 47.33047619 51.57047619 52.62 52.582608696 54.395 51.434285714 51.688636364 51.545 47.418636364 48.728636364 49.046190476 49.062727273 48.364347826 49.377142857 51.9995 55.130952381 55.454761905 56.6 62.256818182 65.545238095 65.941304348 66.738636364 67.361904762 69.577272727 74.302380952
"Cider-S" 96.476190476 96.154761905 96.32826087 98.429411765 104.26363636 112.44761905 112.68 113.28695652 113.78095238 113.05 114.00909091 116.33684211 117.29545455 117.365 118.56363636 117.64736842 118.40909091 117.56 120.64545455 124.25217391 120.27894737 120.35652174 120.91363636 120.18888889 120.85454545 120.73157895 121.285 122.62380952 129.04545455 128.07 128.15217391 124.98636364 125.37619048 120.93913043 121.76190476 121.9 117.92727273 110.255 104.27619048 111.43 115.5 123.0952381 124.34782609 124.36190476 126.69545455 128.19565217 129.895 131.84761905 138.42380952 150.125 150.57826087 149.625 148.79047619 149.00454545 150.02727273 148.71363636 148.44090909 153.73333333 172.60454545 173.16086957 182.4952381 186.695 185.65714286 186.63809524 186.32272727 179.15454545 164.14285714 161.06956522 159.46818182 160.93333333 160.50454545 156.87619048
"FE-Logistique" 65.573809524 56.778571429 52.110869565 52.583333333 53.281818182 52.179047619 53.21 54.456521739 54.157142857 51.802272727 53.356818182 52.415789474 52.425 53.14 52.961363636 53.468421053 53.859090909 52.055 51.977272727 52.589130435 45.099 42.678695652 45.665909091 46.971111111 47.917727273 48.717 50.9475 51.012380952 51.527272727 50.206 49.136521739 48.007272727 47.226666667 46.917391304 49.231428571 51.2925 49.311818182 46.954 45.828095238 47.29 47.561428571 47.862857143 50.75 50.731904762 52.9 55.454347826 55.3475 55.64047619 55.197619048 56.4625 59.113043478 61.0875 62.392857143 63.736363636 64.993181818 66.047727273 68.022727273 70.166666667 68.070454545 67.815217391 70.321428571 75.3475 75.5 73.947619048 71.686363636 78.004545455 82.107142857 86.65 88.868181818 94.402380952 97.102272727 102.17380952
"Clayeux" 86.031428571 78.594761905 78.543478261 75.82 79.211818182 77.924285714 80.08 78.553043478 73.996190476 66.725 65.7 64.237894737 63.291818182 64.462 60.124090909 59.652105263 64.475454545 63.9455 64.721363636 64.503478261 55.89 53.089130435 49.341363636 52.425555556 51.884545455 54.281 58.216 55.951904762 55.693636364 52.124 44.84826087 34.405 32.050952381 26.40173913 30.883809524 33.374 33.651363636 35.595 37.861904762 40.2385 42.104285714 37.782857143 37.253043478 40.381904762 42.721363636 44.786956522 39.8135 38.95952381 38.967619048 43.0125 42.817391304 42.9155 42.827619048 44.976363636 44.614090909 44.476363636 44.384090909 42.621428571 43.543636364 42.876521739 37.927142857 40.7135 41.755714286 42.309047619 41.036818182 44.353636364 46.320952381 45.04826087 47.286363636 46.306190476 46.245454545 47.201428571
"Cnim-C" 117.05714286 116.59047619 140.1826087 134.35 132.24090909 138.53333333 141.885 138.04347826 126.28095238 101.01818182 96.397727273 93 96.543181818 103.055 87.525 75.686842105 76.679545455 69.0125 68.425 65.004347826 44.146 34.766521739 40.562272727 45.463888889 46.448636364 47.7185 52.8375 48.996190476 41.234090909 35.2905 30.72173913 27.653181818 24.431904762 21.324347826 25.670952381 22.834 23.116363636 22.184 19.083333333 19.246 20.328571429 25.455238095 29.842173913 33.589047619 31.170454545 31.419130435 32.6315 31.973809524 32.875714286 34.107 34.433043478 35.1235 33.008095238 36.596363636 37.474090909 35.990454545 37.638636364 37.571904762 35.189090909 34.916521739 35.92952381 40.305 39.959047619 37.995714286 38.437272727 39.567272727 38.751904762 39.71826087 39.396363636 37.79952381 37.965454545 37.97047619
"Cnp-Ass" 46.356190476 51.09952381 57.439130435 57.630555556 62.547727273 61.683333333 60.135 57.908695652 59.502380952 57.825 55.034090909 56.160526316 58.902272727 58.345 54.672727273 57.2 62.013636364 62.0925 55.756818182 53.841304348 45.802631579 47.172608696 48.507272727 50.142777778 54.995454545 57.0275 56.8 58.035714286 60.186363636 58.2775 57.736956522 56.761363636 57.976190476 54.25 55.892857143 60.6775 57.229545455 56.2725 52.023809524 54.753684211 54.354761905 55.652380952 53.226086957 54.711904762 54.452272727 53.032608696 53.45 52.866666667 54.438095238 58.925 59.013043478 59.645 58.638095238 57.404545455 62.461363636 67.322727273 70.113636364 69.338095238 69.931818182 71.023913043 74.676190476 76.53 75.428571429 74.938095238 69.040909091 71.990909091 70.383333333 73.969565217 76.425 75.371428571 74.593181818 77.280952381
"Cofidur" 34.548095238 29.775238095 27.653478261 31.565555556 33.227272727 35.90047619 35.293 36.710434783 33.326190476 35.402727273 36.896363636 39.674210526 38.415909091 36.7695 35.286363636 37.248421053 34.668636364 37.713 36.920454545 36.464347826 34.6615 34.406086957 35.406363636 35.567222222 34.626818182 34.8995 36.929 39.143333333 42.197272727 41.3405 36.986956522 36.31 36.251428571 35.00173913 36.024761905 34.9735 36.695 36.291 33.861904762 35.012 38.180952381 37.305238095 37.256521739 37.080952381 38.095909091 39.576956522 39.019 39.557142857 44.411428571 45.5835 45.864782609 49.1115 48.064285714 47.698181818 46.776818182 47.791363636 51.051818182 51.654761905 51.55 53.669565217 53.073809524 53.675 54.045238095 54.173809524 53.265909091 52.761363636 53.438095238 55.730434783 55.770454545 56.626190476 62.654545455 66.421428571
"Coheris" 53.205 55.155 54.845238095 55.029411765 55.027272727 54.930555556 53.132352941 53.689130435 53.352380952 55.322727273 54.7 55.755263158 55.58 56.485 57.409090909 58.594736842 60.531818182 59.155 58.413636364 61.515217391 57.0925 58.352173913 61.170454545 59.588888889 60.245454545 61.3425 61.9175 62.3 63.313636364 62.0125 62.541304348 65.330952381 64.776190476 61.126086957 61.595238095 60.410526316 58.684090909 57.9325 54.569047619 56.0225 57.065 57.078571429 55.893478261 55.880952381 55.781818182 56.815217391 57.365 57.352631579 59.905 62.655 67.495652174 69.6125 69.385714286 68.776190476 69.277272727 71.5925 72.768181818 73.252380952 72.738636364 75.215217391 79.302380952 83.0325 82.283333333 80.385714286 78.029545455 81.645454545 81.34047619 86.373913043 89.802272727 90.342857143 90.136363636 88.430952381
"Coil-Anod" 51.558571429 89.39047619 126.24173913 90.770588235 84.868181818 68.754761905 48.708 49.563043478 56.475238095 50.93 46.182727273 33.08 32.281818182 33.5775 25.932272727 23.289473684 26.913636364 19.697 12.767272727 12.724347826 8.9935 10.346086957 10.000909091 11.256111111 10.390909091 9.5295 11.1205 9.7785714286 7.405 5.7455 5.5595652174 5.1659090909 3.6533333333 2.6447826087 2.999047619 3.2035 2.8759090909 2.7445 2.6404761905 2.871 3.0414285714 3.6614285714 3.4543478261 3.67 3.7195454545 3.5113043478 4.216 4.1528571429 4.37 4.9295 4.4413043478 4.4955 4.4066666667 4.4331818182 4.4159090909 4.4668181818 4.6145454545 4.7366666667 4.7263636364 4.5134782609 4.7738095238 5.252 5.44 5.360952381 5.29 5.1763636364 5.1528571429 5.5204347826 5.775 5.5523809524 5.2245454545 4.950952381
"Colas" 47.875714286 43.638095238 37.580434783 37.062777778 36.695454545 32.695238095 29.35 26.903043478 23.705714286 26.695454545 26.440454545 23.245263158 19.96 15.471 12.265909091 13.336842105 17.419545455 16.724 16.112272727 17.365217391 15.6215 14.812173913 13.591363636 13.226111111 13.002727273 12.582 11.5875 11.01952381 9.5018181818 9.387 8.7430434783 7.399047619 5.8780952381 5.1265217391 6.6 5.614 5.2918181818 5.668 7.5238095238 9.0735 8.9542857143 9.4242857143 9.9643478261 9.8023809524 9.2227272727 9.0673913043 10.265 9.9242857143 10.038571429 10.672 11.167826087 11.312 10.144285714 9.0445454545 9.0014285714 8.4027272727 8.2195454545 8.1504761905 7.8042857143 8.5691304348 8.7215 10.447 10.041904762 9.7085714286 9.2018181818 9.1859090909 9.9223809524 9.5886363636 10.228636364 9.8166666667 8.7777272727 8.540952381
"Completel" 51.919047619 46.871428571 47.133913043 46.065555556 49.642727273 50.805238095 72.253571429 66.969565217 59.004761905 53.786363636 55.434090909 53.713157895 58.104545455 56.675 60.352272727 62.102631579 66.438636364 65.18 66.315909091 66.088636364 64.6325 64.363043478 63.543181818 62.511111111 63.014285714 64.6625 71.1025 73.430952381 73.393181818 72.2425 71.015217391 70.627272727 68.233333333 68.008695652 67.195238095 66.93 67.572727273 66.9575 67.028571429 70.84 77.79047619 83.078571429 88.358695652 90.15952381 88.690909091 90 92.19 90.364285714 90.161904762 91.6475 93.219565217 94.8125 94.077777778 94.327272727 94.15 94.381818182 98.827272727 104.01428571 104.98181818 113.4173913 126.4952381 123.35 125.25714286 123.84761905 128.54545455 132.33181818 131.95238095 134.69130435 145.01818182 149.33333333 144.89090909 143.98095238
"Crcam-A" 79.730952381 78.780952381 77.397826087 77.45 84.475 88.804761905 95.69 96.293478261 96.657142857 96.443181818 96.279545455 98.631578947 100.16136364 102.81 105.28181818 107.54210526 120.77727273 117.795 108.25 100.12272727 98.26 98.576086957 90.065789474 79.497222222 85.254545455 80.010526316 82.475 83.5425 78.69047619 75.6075 77.030434783 84.563636364 83.402380952 73.404347826 73.6175 79.939473684 87.915909091 88.165 89.402380952 93.4 92.766666667 92.40952381 91.417391304 93.352380952 94.822727273 94.695652174 93.7 95.4625 94.35 94.79 101.91304348 103.27 100.34761905 97.647727273 101.88181818 101.225 101.51363636 104.8047619 104.29090909 101.79130435 105.70952381 107.645 109.0952381 107.25714286 104.97727273 104.5 108.53809524 113.74347826 116.51818182 115.51904762 116.24545455 108.26190476
"Crcam-I" 28.829047619 28.904285714 30.446086957 30.878333333 30.98 32.267142857 33.8085 34.144782609 35.497619048 38.09 41.721363636 42.231578947 42.160454545 42.4085 42.922272727 43.568421053 45.974545455 47.142 47.615 44.063913043 43.6225 42.982608696 44.771818182 46.841666667 47.890454545 47.928 48.478 48.522380952 48.463636364 48.3845 48.160869565 48.911904762 49.902380952 48.908695652 49.785 48.934736842 48.441904762 48.5095 48.273809524 48.61 48.562857143 48.569 45.316086957 44.805 47.977272727 47.699565217 46.9495 46.507 48.396190476 48.4575 50.106521739 51.075 51.626315789 52.956818182 53.395454545 53.69047619 54.813636364 54.70952381 55.161363636 56.113043478 56.923809524 59.375 61.628571429 64.09047619 66.088636364 64.138636364 61.935 63.789130435 65.315909091 66.073809524 67.535714286 66.971428571
"Crcam-L" 52.05952381 52.035714286 53.373913043 55.294444444 56.715909091 57.302380952 58.7025 59.6 59.128571429 58.743181818 59.545454545 66.126315789 75.802272727 68.2975 71.634090909 70.107894737 75.122727273 79.0725 80.125 73.984090909 69.635 77.230434783 77.081818182 75.613888889 74.588636364 73.2825 71.6625 73.807142857 73.881818182 73.7875 75.406521739 75.357142857 75.055 67.4 69.235714286 69.245 64.220454545 70.925 74.414285714 72.7825 73.042857143 74.354761905 71.934782609 75.719047619 75.938636364 71.711363636 71.213157895 71.180952381 71.523809524 71.96 71.863043478 72.31 73.733333333 74.704545455 75.65 76.256818182 77.306818182 78.25952381 81.202272727 87.365217391 88.819047619 86.2725 87.416666667 88.452380952 87.475 83.918181818 83.714285714 82.052173913 82.261363636 82.288095238 80.420454545 78.607142857
"Crcam-Mi" 47.256190476 46.326190476 46.256086957 46.744444444 47.266363636 46.985238095 46.019 46.683913043 47.147619048 50.705 54.727272727 55.85 59.570454545 61.14 61.231818182 61.231578947 63.05 71.8325 77.777272727 65.864705882 57.615789474 57.102272727 57.1275 53.897058824 57.168181818 55.831578947 59.5825 58.84047619 59.397727273 54.3675 50.485714286 49.659545455 49.348571429 45.615454545 47.338333333 49.631052632 48.252857143 45.782631579 42.205 42.323684211 47.922857143 44.332380952 44.373913043 46.04047619 48.983181818 50.806521739 50.415 48.272631579 51.178571429 52.3875 51.367391304 51.6825 52.05 51.484090909 51.795238095 54.1 55.145238095 59.995238095 56.829545455 55.034782609 58.242857143 61.605 60.754761905 59.85 61.630952381 61.95 59.247619048 64.77173913 64.122727273 62.880952381 61.65 60.64047619
"Crcam-Mo" 62.254761905 63.511904762 64.573913043 66.661111111 66.652272727 67.814285714 74.465 71.252173913 70.971428571 70.236363636 71.463636364 70.268421053 69.55 71.1125 76.936363636 76.957894737 79.306818182 84.0525 86.345454545 89.214285714 86.125 88.752173913 85.147727273 77.188235294 80.152272727 81.395 84.105 83.057142857 87.368181818 85.9975 86.35 85.138095238 85.495238095 87.765217391 90.052380952 92.6 91.425 92.9375 92.242857143 95.88 96.933333333 95.873809524 97.091304348 96.719047619 98.7 97.067391304 94.195 98.46 97.371428571 90.8875 95.993478261 99.8175 96.876190476 96.313636364 96.234090909 95.30952381 96.029545455 97.447619048 92.802272727 99.547826087 101.14285714 102.375 106.12380952 109.24285714 108.42272727 107.97272727 111.15238095 116.34782609 118.41363636 117.74285714 113.85454545 111.84285714
"Crcam-N" 51.223809524 50.05952381 50.702173913 52.761111111 52.663636364 51.761904762 50.65 50.930434783 50.578571429 50.984090909 51.059090909 49.774736842 51.294090909 50.489 52.277272727 55.997368421 62.320454545 71.54 71.995454545 61.5475 59.344736842 62.758695652 65.7125 64.516666667 65.115909091 59.8725 66.535 63.807142857 62.55 62.555263158 61.684782609 60.133333333 60.59047619 60.278571429 62.885714286 62.178947368 57.7075 53.075 57.797619048 58.294736842 58.1875 54.7825 57.545652174 69.91 70.838636364 69.65 70.095 67.019047619 67.276190476 67.8825 69.084782609 68.81 70.092857143 68.531818182 68.136363636 69.890909091 71.559090909 75.25952381 72.054761905 71.254347826 73.202380952 76.625 75.319047619 78.530952381 79.659090909 76.704545455 76.804761905 82.036956522 79.075 84.602380952 82.063636364 80.261904762
"Crcam-P" 67.047619048 69.552380952 76.926086957 80.997222222 84.656818182 83.045238095 83.6175 83.610869565 83.971428571 83.754545455 84.768181818 87.352631579 91.197727273 92.5575 93.509090909 93.894736842 96.752272727 99.37 99.668181818 92.095652174 88.8225 89.486956522 89.6 89.561111111 94.645454545 92.9275 90.6025 93.10952381 92.947619048 91.27 85.7 84.327272727 89.792857143 88.730434783 88.845238095 87.928947368 84.202272727 85.96 87.647619048 87.6925 87.883333333 87.407142857 87.360869565 86.40952381 85.904545455 85.189130435 83.04 78.645 77.476190476 81.095 84.165217391 85.255 85.99047619 86.568181818 86.702272727 87.115909091 87.886363636 87.742857143 87.461363636 87.902173913 88.430952381 88.8675 91.828571429 92.197619048 92.873809524 91.656818182 91.666666667 92.795652174 94.309090909 94.44047619 92.143181818 90.633333333
"Crcam-S" 37.507142857 36.502380952 36.016956522 36.044444444 39.805454545 47.567142857 52.3305 53.136521739 55.913333333 57.421818182 55.576363636 55.431578947 57.423636364 62.226 64.737727273 63.644210526 73.356818182 74.0925 66.454545455 65.684090909 64.8225 65.310869565 65.436363636 64.255555556 71.663636364 69.9225 70.4275 71.716666667 69.379545455 82.03 83.902173913 87.827272727 91.166666667 89.354347826 95.604761905 96.0925 93.804545455 89.91 91.847619048 96.47 99.747619048 101.7 100.81956522 102.44285714 104.15909091 101.95217391 102.885 102.12857143 105.59761905 117.24 122.87826087 114.775 109.67619048 111.56363636 111.9 111.85454545 110.66818182 106.98571429 108.86818182 103.23043478 102.93571429 103.35 99.628571429 93.704761905 92.525 96.345454545 93.19047619 89.765217391 89.972727273 90.985714286 88.652272727 88.907142857
"Crcam-T" 61.907142857 61.69047619 64.063043478 64.980555556 67.640909091 67.464285714 69.765 70.27173913 70.766666667 77.504545455 79.35 79.810526316 76.345454545 76.85 81.434090909 82.555263158 85.879545455 104.72105263 108.05714286 95.345238095 100.1425 99.565217391 96.213636364 89.2 93.222727273 84.705 91.2375 87.371428571 85.845454545 87.695 79.336956522 85.579545455 86.65952381 83.134782609 80.10952381 79.1 73.945454545 68.0675 63.192857143 66.4075 73.776190476 70.771428571 69.167391304 73.84047619 88.697727273 89.993478261 85.247368421 82.225 83.5825 83.9975 86.984782609 94.725 99.342857143 97.918181818 101.08181818 104.60454545 105.77272727 116.87619048 119.26818182 112.90869565 117.56666667 121.23 125.67142857 130.6952381 132.25909091 127.83181818 128.97 136.89130435 143.15909091 140.04285714 139.85454545 140.02380952
"Credit-Ag" 67.326190476 64.504761905 66.930434783 69.819444444 72.470454545 77.30952381 84 91.115217391 92.085714286 89.559090909 91.813636364 87.857894737 89.777272727 92.9725 102.70909091 103.62631579 105.79545455 106.92 101.4047619 94.736956522 86.0775 90.032608696 98.272727273 92.838888889 85.440909091 82.01 83.4175 82.676190476 79.426190476 88.375 85.180434783 80.026190476 73.769047619 79.013043478 82.183333333 76.039473684 71.118181818 72.2125 68.192857143 69.8725 72.252380952 69.873809524 67.797826087 69.580952381 75.604545455 77.456521739 75.65 75.0475 75.366666667 74.7525 76.330434783 78.4025 76.504761905 76.018181818 78.111363636 82.561363636 80.786363636 86.407142857 87.802272727 87.454347826 90.235714286 91.195 89.478571429 89.95952381 90.681818182 87.831818182 89 93.352173913 89.781818182 90.630952381 88.497727273 87.197619048
"Dalet" 73.004761905 66.30952381 66.989130435 67.827777778 62.093181818 58.047619048 57.63 59.480434783 55.135714286 52.102272727 51.063636364 46.443684211 47.500454545 53.2535 52.241363636 52.572631579 56.152272727 51.994 55.022727273 51.813913043 38.911 37.823913043 43.963636364 45.489444444 46.962272727 43.8935 50.7025 51.273809524 52.906818182 47.9435 45.237826087 44.367272727 40.032857143 35.383478261 34.235714286 31.872 29.084545455 27.721 27.022857143 29.4015 27.303333333 28.092380952 31.011304348 32.894285714 33.782727273 30.806086957 31.99 34.733333333 37.78 36.808 34.881304348 35.7765 36.048095238 37.847727273 36.618636364 34.44047619 34.728636364 33.235714286 33.709090909 34.628181818 35.181904762 35.473 34.467619048 31.82047619 31.658636364 33.475 34.755238095 41.347391304 42.009545455 42.540952381 42.719545455 42.813333333
