"CM1" "CM2" "CM3" "CM4" "CM5" "CM6" "CM7" "CM8" "CM9" "CM10" "CM11" "CM12" "CM13" "CM14" "CM15" "CM16" "CM17" "CM18" "CM19" "CM20" "CM21" "CM22" "CM23" "CM24" "CM25" "CM26" "CM27" "CM28" "CM29" "CM30" "CM31" "CM32" "CM33" "CM34" "CM35" "CM36" "CM37" "CM38" "CM39" "CM40" "CM41" "CM42" "CM43" "CM44" "CM45" "CM46" "CM47" "CM48" "CM49" "CM50" "CM51" "CM52" "CM53" "CM54" "CM55" "CM56" "CM57" "CM58" "CM59" "CM60" "CM61" "CM62" "CM63" "CM64" "CM65" "CM66" "CM67" "CM68" "CM69" "CM70" "CM71" "CM72"
"Algoriel" 9.6938095238 8.7776190476 8.7934782609 7.9872222222 7.8940909091 8.0785714286 7.8835 8.3360869565 7.6276190476 7.2227272727 7.1890909091 7.6031578947 8.2736363636 7.6375 8.1163636364 8.9242105263 9.3277272727 9.3605 9.6777272727 9.2917391304 8.249 8.4082608696 8.3927272727 8.2711111111 8.2936363636 8.853 9.12 9.1942857143 9.4259090909 11.0765 10.364782609 10.384090909 9.5914285714 8.55 9.9294736842 9.1 9.25 7.9457894737 7.8833333333 9.005 9.1875 9.65 10.012941176 10.3375 10.180454545 9.3547619048 10.049473684 10.033333333 9.8805555556 10.0405 10.449565217 11.108 11.635 12.848636364 12.431363636 12.341052632 12.525238095 13.394285714 13.771818182 12.89 13.937142857 14.8535 15.787142857 15.86 14.065 14.665238095 14.397142857 14.855217391 15.080909091 15.502380952 14.590909091 15.376190476
"Alpes" 342.01904762 352.25238095 398.11304348 408.06111111 402.99090909 379.61428571 389.05 389.36521739 375.45714286 375.13181818 398.09545455 388.08421053 368.78636364 370.305 339.65 310.93157895 317.83636364 339.715 325.2 319.73913043 246.12 254.38695652 264.11818182 259.62777778 267.82272727 252.59 271.77 272.90952381 252.27727273 213.325 179.43043478 133.59545455 106.96666667 96.013043478 107.42380952 103.0225 88.529545455 68.9975 60.016666667 56.6065 64.578571429 72.764285714 80.460869565 87.430952381 82.779545455 82.493478261 93.2 96.233333333 104.38809524 103.96 94.154347826 92.2675 85.080952381 86.506818182 83.731818182 77.629545455 82.429545455 82.571428571 90.893181818 95.847826087 94.388095238 94.13 98.264285714 95.204761905 93.897727273 96.493181818 99.466666667 107.27391304 106.50909091 114.1952381 120.74545455 127.55714286
"Alpha-Mos" 33.891578947 37.646666667 35.78 37.288333333 34.165909091 33.639047619 36.506 37.825652174 43.542380952 43.763636364 42.746818182 43.570526316 45.280909091 45.915 45.464545455 44.311052632 45.461363636 46.1085 45.741818182 45.874545455 44.5855 46.220869565 52.815909091 55.333333333 54.547727273 52.485 53.3875 56.704761905 56.673684211 56.9075 56.610869565 55.756818182 52.230952381 50.073478261 49.428095238 47.797 48.705 50.124 47.717142857 46.613 47.41047619 47.736190476 51.684782609 54.071428571 54.802272727 56.854347826 59.4225 62.542857143 65.55 67.1925 66.77173913 63.9825 65.285714286 63.022727273 59.990909091 60.234090909 58.243181818 59.080952381 62.925 64.410869565 64.395238095 63.41 63.402380952 60.397619048 59.302272727 58.195454545 57.3 58.004347826 57.852272727 56.735714286 53.884090909 56.628571429
"Alstom" 6.9657142857 10.685714286 11.766521739 9.2983333333 7.8386363636 7.2414285714 6.2225 6.1847826087 6.4838095238 5.6068181818 8.4595454545 8.0731578947 8.535 8.567 6.745 6.2189473684 5.5754545455 4.398 3.6218181818 4.2552173913 3.0135 3.1956521739 3.3431818182 4.0544444444 4.2518181818 4.4665 4.659 4.2447619048 4.1013636364 3.268 2.9430434783 2.4136363636 2.0266666667 1.6345454545 2 1.9757894737 2.3563636364 2.862 2.5647619048 2.7105 2.999047619 2.9771428571 2.9030434783 2.8038095238 2.8309090909 2.8091304348 3.1155 2.6576190476 2.58 2.823 2.6982608696 2.776 2.5995238095 2.4859090909 2.4272727273 2.2659090909 2.0363636364 2.0419047619 1.9409090909 2.1195652174 2.1157142857 2.5375 2.4238095238 2.5757142857 2.5745454545 2.5977272727 2.9804761905 3.5117391304 3.7945454545 3.5552380952 3.3995454545 3.3323809524
"Alstom-NR" 1168.0761905 988.34285714 901.82608696 1031.9555556 1065.4181818 1062.247619 1109.7 956.50434783 980.15238095 960 1007 988.35789474 950.98181818 1043.06 1094.6181818 1176.4210526 1207.9272727 1244.62 1209.0727273 1164.4 965.1 590.69565217 518.41818182 478.8 488.01818182 471.54 546.8 539.25714286 491.65454545 419.1 408 320.97136364 233.35238095 157.54782609 240.4952381 223.22 192.07272727 153.02 65.695238095 54.98 112.81904762 119.46666667 101.80869565 83.638421053 101.01894737 94.730434783 99.04 48.228571429 49.352380952 69.6 69.252173913 65 39.561904762 25.636363636 21.527272727 16.618181818 17.745454545 20.742857143 22.2 22.191304348 24.819047619 27.64 28.114285714 25.980952381 25.418181818 32.163636364 33.504761905 32.125652174 36.628636364 39.706190476 43.196363636 48.840952381
"Altamir" 13.183333333 11.57047619 12.726086957 13.632222222 14.141818182 15.854761905 16.007 16.53826087 15.180952381 16.62 16.683636364 16.051052632 15.110909091 15.033 14.100909091 14.022105263 14.362272727 15.288 16.371363636 17.095652174 17.6665 18.205217391 17.550909091 18.134444444 18.608181818 18.868 20.6615 22.366666667 23.466818182 22.6905 20.903913043 22.094545455 23.118095238 22.024782609 21.208571429 20.982 21.989090909 20.9365 21.512380952 23.39 23.588571429 21.737619048 21.819565217 21.825238095 21.441363636 20.894347826 21.5665 22.136666667 22.858571429 24.9135 25.333913043 24.466 24.078095238 25.205454545 25.457727273 25.415454545 26.381818182 27.670952381 29.155 31.802608696 32.618571429 33.2045 31.476190476 32.468095238 33.226363636 34.668636364 34.379047619 34.693478261 35.951363636 35.797142857 35.727727273 36.294761905
"Alti" 37.463809524 50.853333333 46.392727273 34.941111111 33.917272727 35.160952381 30.011 27.779130435 30.9 28.965454545 28.917272727 29.677894737 30.602727273 30.628 27.196363636 25.094736842 27.309090909 23.795 20.968181818 20.181304348 14.061 13.446086957 15.879090909 15.416666667 16.305909091 15.5455 17.5775 19.476666667 16.451818182 11.5635 9.2552173913 7.0659090909 5.3657142857 6.0486956522 8.3804761905 7.4175 6.5154545455 5.3945 5.9476190476 6.923 7.800952381 8.4161904762 7.5286956522 7.9738095238 8.8463636364 10.446956522 12.115 11.335714286 12.045238095 12.808 13.155217391 13.279 12.618095238 13.649545455 14.647727273 13.765454545 14.206818182 15.743333333 16.958181818 16.25826087 17.369047619 19.0585 18.890952381 18.981428571 19.608636364 20.797727273 22.093333333 23.753478261 26.42 25.78047619 24.729090909 25.29
"Altran-T" 82.628571429 133.51904762 137.21086957 53.705 35.223636364 27.522380952 21.319 24.144782609 30.838095238 23.677727273 19.59 12.095263158 11.48 13.324 9.4868181818 9.9915789474 12.655454545 10.542 8.6381818182 8.4891304348 6.335 6.8517391304 8.5172727273 10.155 10.096818182 8.828 8.799 8.099047619 7.0727272727 6.58 6.0191304348 5.2754545455 3.3761904762 2.5891304348 4.2819047619 4.3025 3.6572727273 3.4005 3.0280952381 3.1495 3.12 3.139047619 3.1508695652 3.1823809524 3.6959090909 4.0065217391 5.0315 5.5271428571 7.1385714286 7.707 7.0717391304 6.937 6.9280952381 7.3463636364 7.5372727273 7.23 7.4209090909 7.7280952381 8.7627272727 9.1186956522 10.649047619 11.5025 10.922857143 10.952380952 10.699090909 11.323181818 11.296190476 13.283913043 14.485909091 14.188095238 14.460909091 14.657619048
"Anf" 63.366190476 85.436666667 89.656956522 74.895 79.410454545 75.187142857 71.9285 79.898695652 83.51 77.161363636 81.073636364 76.413157895 73.234090909 76.345 65.497727273 64.715789474 71.256818182 62.9375 54.547727273 56.202173913 43.0185 48.194347826 51.870909091 51.597222222 52.077727273 53.485 60.055 62.271428571 55.477272727 41.7745 22.827826087 15.594090909 10.76 4.6556521739 6.7052380952 6.17 4.9581818182 3.854 2.7285714286 3.057 5.1061904762 7.3776190476 8.552173913 9.219047619 9.5977272727 10.031304348 11.1285 10.215238095 10.837619048 11.228 9.3634782609 9.1735 8.5233333333 9.3763636364 8.8218181818 6.1927272727 5.495 6.2904761905 7.3404545455 7.6226086957 8.229047619 8.449 8.5914285714 7.7295238095 6.7790909091 7.3272727273 7.3733333333 7.422173913 8.0959090909 9.4066666667 9.7359090909 9.6447619048
"April-G" 57.521428571 61.975 81.572727273 77.81875 67.722727273 68.869047619 70.53 83.797826087 98.619047619 86.914285714 84.286363636 85.757894737 84.809090909 82.9325 60.952272727 56.397368421 61.131818182 56.2125 45.420454545 47.174347826 43.5095 41.576521739 40.889090909 41.962222222 42.757727273 41.187 43.721 47.385714286 45.195454545 45.104 45.506521739 40.061363636 38.353 31.946086957 35.325238095 35.051052632 35.969545455 37.1455 37.338095238 37.8555 42.02047619 41.878571429 42.46826087 44.43952381 42.472857143 42.936956522 44.1785 46.62 48.1 51.010714286 53.476086957 53.925 53.5975 50.218636364 52.797727273 54.702272727 55.263636364 58.992857143 59.118181818 61.32826087 64.054761905 64.435 67.871428571 66.164285714 61.788636364 60.815909091 57.90952381 59.708695652 59.781818182 57.85 56.629545455 55.733333333
